Resource,Proposer,From,Status,Input volunteer,Note
https://mp.weixin.qq.com/s/RTVfswuTC-Vf1SLhbSfWSw,,安庆市传染病医院（安庆市立医院北院区）接受爱心捐赠通告,,bibo,
https://m.weibo.cn/status/4467869423437120?sudaref=shimo.im&display=0&retcode=6102,杨,榆林市中心血站接受社会捐助公告,,,
https://m.weibo.cn/status/4466382316038371?sudaref=shimo.im&display=0&retcode=6102,杨,昆明市疾病预防控制中心接受社会捐赠公告,,,
https://m.weibo.cn/status/4466382316038371?sudaref=shimo.im&display=0&retcode=6102,杨,玉溪市红十字会接受社会捐赠公告,,,
https://mp.weixin.qq.com/s/LcdQjQejiBHyNqPLvPM7nA,腾讯,腾讯再出2亿元，发起“战疫开发者公益联盟”,,zhaoyingying1,
https://mp.weixin.qq.com/s/97M9I8PcglMFvnpjN9QWlA,货拉拉,货拉拉捐赠万份餐食并免费运送，不能让战士饿着肚子打仗！,,zhaoyingying1,
https://mp.weixin.qq.com/s/-7Z8oO-B66WDeaq0G_9eog,汪鑫,武汉殡葬需要物资,暂不收录,谭弹弹,信息已被删除
http://www.shanggao.gov.cn/news-show-6034.html,刘浩,宜春市慈善总会关于接收防治新型冠状病毒感染的肺炎捐赠款物的公告,已录入,谭弹弹,
https://page.om.qq.com/page/OA7hvKSvz_HjZ2TE2tWe7rsQ0,刘浩,绥化市红十字会“防控新型肺炎”专项捐赠公告,未录入,,
http://www.bjch.com/content/2020-01/27/content_2263655.htm,刘浩,江门市中心医院急需这些防控物资！请社会各界伸出援手,已录入,孤悠,
https://mp.weixin.qq.com/s/nSvnnpNon4PYJVtmqWE-kg,刘浩,咸阳市中心医院接受社会捐赠二次公告,已录入,孤悠,
https://mp.weixin.qq.com/s/vLUHRzmCSTbrqElzwhvCMA,媛媛,信阳市新型冠状病毒感染的肺炎疫情防控指挥部接受社会捐赠公告,未录入,,
https://mp.weixin.qq.com/s/TJ8Mt7vhhiafkxQ40QZzcA,媛媛,扩散！湘西这些医院急需医疗防护物资捐赠，全省还有这些地方需要……,未录入,,
https://mp.weixin.qq.com/s/h_yQIgWAtRhy0u86b1J8JQ,Augustine,马鞍山市慈善总会接收社会爱心捐赠公告,已录入,张校卿,
https://mp.weixin.qq.com/s/9s5AcEGoQXGVXOMwC0h0gw,Augustine,蚌埠市疾控中心接受社会爱心捐赠公告,未录入,,
http://m.zjsql.com.cn/index.php?a=show&catid=14&id=42573,Myles,浙省归侨会,未录入,,
http://news.163.com/20/0202/10/F4CHAO0E0001899O.html,selfless煜,武汉金银潭医院接受社会捐赠公告,,,
https://baijiahao.baidu.com/s?id=1657327452993411896&wfr=spider&for=pc,selfless煜,武汉协和医院：部分捐赠的口罩不符使用标准,,,
https://news.sina.cn/gn/2020-02-01/detail-iimxyqvy9534737.d.html?ivk_sa=1023197a,selfless煜,武汉市第七医院物资问题,,,
https://baijiahao.baidu.com/s?id=1657214987740217041&wfr=spider&for=pc,selfless煜,捐赠品部分不符合标准无法用,,,
https://www.jfdaily.com/news/detail?id=206665,selfless煜,海外华侨捐赠抵达,,,
https://baijiahao.baidu.com/s?id=1657528793591130860&wfr=spider&for=pc,selfless煜,柳工全球采购 成功捐赠武汉三家医院,,,
https://mp.weixin.qq.com/s/HCF6RzKGRM2v6ovy_OWpyg,春风十里不如你,恩施州红十字会接受抗击新型冠状病毒感染的肺炎疫情专项捐赠情况公示,暂不收录,谭弹弹,捐赠明细信息，而非接受捐赠信息
https://mp.weixin.qq.com/s/vg2RxZVW50RF__zEkcnXSg,春风十里不如你,仲景宛西制药相继捐赠药品及现金共计600余万元,暂不收录,谭弹弹,同上
https://mp.weixin.qq.com/s/yy1ZW8-cy5xot2r-KHiiNg,Augustine,这份抗击疫情爱心倡议，期待你的参与,已录入,谭弹弹,
